Compound;CNS positivity; MW (g/mol);Freely Rotable Bonds (ACD);PSA (ACD);HBD (ACD);HBA (ACD);logP (ACD);logD (pH7.4) (ACD);HPLC logP-HBA (ACD);HBA+HBD (ACD);logP-HBA (ACD);logD (pH 7.4)-HBA (ACD);HPLC logP(pH 7.4) ;IAM Km (linear);IAM Pm (linear);HSA;LogK;tPSA;logP;ClogP;pKa (prediction);3D PSA;CNS MPO score;BBB score;CNS MPO PET score
Tariquidar;efflux;646.73;11;111;2;10;6.38;4.89;-5.19;12;-3.62;-5.11;4.81;808.67;1.25;90.26;0.92;110.7;5.16;5.55;8.36;174;1.61;1.69;0.5
Candesartan;negative;440.15;7;119;2;9;5.01;0.04;;11;-3.99;-8.96;;;;;;124.62;;5.19;-1.56;129.9;2.96;1.58;2
PolymyxinB2;negative;1189.45;28;491;23;29;-3.4;-11.74;;52;-32.4;-40.74;;;;;;490.54;;-4.19;;502.6;2;1.26;
ActinomycinD;efflux;1254.63;8;356;6;28;-4.03;-2.39;-24.32;34;-32.03;-30.39;3.68;121.1;0.1;64.62;0.25;359.98;-1.15;;-1.44;204;3;1.19;3
Teniposide;efflux;656.65;6;189;3;13;1.71;1.42;-10.35;16;-11.29;-11.58;2.65;34.19;0.05;80.37;0.59;160.8;2.75;-0.59;12.28;257;2.86;1.19;2
Candesartancilexetil;negative;610.66;13;143;1;12;7.79;4.03;-8.62;13;-4.21;-7.97;3.38;95.42;0.16;90.78;0.95;135.77;7.35;7.33;-1.56;121;1.75;1.16;2
Digoxin;efflux;780.94;7;203;6;14;0.85;1.26;-11.8;20;-13.15;-12.74;2.2;11.34;0.01;0;0;203.08;;1.42;12.98;288;2.82;0.84;2
Clarithromycin;negative;747.95;8;183;4;14;3.16;2.38;;18;-10.84;-11.62;;;;;;182.93;;2.37;14.48;88.8;2.38;0.84;1.1
Roxithromycin;negative;837.05;13;217;5;17;3.73;2.8;-16.12;22;-13.27;-14.2;0.88;126.35;0.15;42.78;-0.13;216.92;;2.25;9.08;185.9;2.46;0.83;0.5
Colistin;negative;1155.43;28;491;23;29;-3.68;-11.9;;52;-32.68;-40.9;;;;;;490.65;;;2.13;444.8;2;0.78;3
CyclosporinA;efflux;1202.61;15;279;5;23;3.35;1.8;-18.69;28;-19.65;-21.2;4.31;355.37;0.3;78.03;0.53;261.71;;14.68;2.98;;1.12;0.76;2.5
Ritonavir;efflux;720.94;19;202;4;11;6.75;2.68;-7.68;15;-4.25;-8.32;3.32;107.53;0.15;82.07;0.64;155.2;9.12;6.08;-1.95;140;2;0.58;1.2
